CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2248","2248 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.4346318,-34.65333,"8",VILLA SOLDATI,"143",V,"46",,"150",V,"101",,,,,
GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2151","2151 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.4342743,-34.6527126,"7",FLORES,"143",I,"46",,"150",I,"101",V,,,,
GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1851","1851 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.4318901,-34.6507473,"7",FLORES,"46",,"143",I,"150",I,"101",V,,,,
PERITO MORENO AV.,"2889","2889 MORENO, PERITO AV.",-58.4523184,-34.6509527,"7",FLORES,"193",I,,,,,,,,,,
PERITO MORENO AV.,"3349","3349 MORENO, PERITO AV.",-58.4588646,-34.650415,"7",FLORES,"193",V,,,,,,,,,,
PERITO MORENO AV.,"3030","3030 MORENO, PERITO AV.",-58.4550386,-34.650782,"7",FLORES,"193",I,,,,,,,,,,
PERITO MORENO AV.,"2860","2860 MORENO, PERITO AV.",-58.4524685,-34.65103,"7",FLORES,"193",V,,,,,,,,,,
PERITO MORENO AV.,"2420","2420 MORENO, PERITO AV.",-58.4437032,-34.6511448,"7",FLORES,"193",V,,,,,,,,,,
PERITO MORENO AV.,"1740","1740 MORENO, PERITO AV.",-58.432238,-34.650736,"7",FLORES,"193",V,,,,,,,,,,
RIESTRA AV.,"2210",2210 RIESTRA AV.,-58.4397655,-34.6484955,"7",FLORES,"23",I,,,,,,,,,,
RIESTRA AV.,"2593",2579 RIESTRA AV.,-58.4434512,-34.6504447,"7",FLORES,"23",V,"76",I,,,,,,,,
RIESTRA AV.,"1988",1988 RIESTRA AV.,-58.4369373,-34.6472068,"7",FLORES,"23",I,,,,,,,,,,
RIESTRA AV.,"1802",1802 RIESTRA AV.,-58.4351629,-34.6463418,"7",PARQUE CHACABUCO,"23",I,,,,,,,,,,
CURAPALIGUE,"1230",1230 CURAPALIGUE AV.,-58.4455344,-34.636922,"7",PARQUE CHACABUCO,"44",I,,,,,,,,,,
CURAPALIGUE,"1016",1016 CURAPALIGUE AV.,-58.4471112,-34.6349643,"7",PARQUE CHACABUCO,"44",I,,,,,,,,,,
CURAPALIGUE,"1031",1031 CURAPALIGUE AV.,-58.4471652,-34.6353512,"7",PARQUE CHACABUCO,"44",V,,,,,,,,,,
CURAPALIGUE,"1295",1295 CURAPALIGUE AV.,-58.4454529,-34.6372133,"7",PARQUE CHACABUCO,"44",V,,,,,,,,,,
CURAPALIGUE,"1791",1791 CURAPALIGUE AV.,-58.4432117,-34.6416597,"7",PARQUE CHACABUCO,"44",V,"50",V,,,,,,,,
CARABOBO AV.,"1406",1406 CARABOBO AV.,-58.4468616,-34.6407018,"7",PARQUE CHACABUCO,"50",I,"101",V,"133",I,,,,,,
CARABOBO AV.,"1210",1210 CARABOBO AV.,-58.4491855,-34.6389322,"7",PARQUE CHACABUCO,"133",I,,,,,,,,,,
LA PAMPA,"2410",2410 LA PAMPA,-58.4545092,-34.5650805,"13",BELGRANO,"44",I,,,,,,,,,,
CARABOBO AV.,"1399",1399 CARABOBO AV.,-58.447511,-34.640579,"7",FLORES,"133",V,,,,,,,,,,
CARABOBO AV.,"1689",1689 CARABOBO AV.,-58.44474,-34.642676,"7",FLORES,"101",I,"133",V,,,,,,,,
COREA AV.,"1774",1774 COREA AV.,-58.4435993,-34.6432173,"7",FLORES,"26",V,"101",I,,,,,,,,
JOSE HERNANDEZ,"2491","2491 HERNANDEZ, JOSE",-58.45441,-34.5661271,"13",BELGRANO,"80",I,"168",V,,,,,,,,
AMENABAR,"1655",1655 AMENABAR,-58.4550764,-34.5671188,"13",BELGRANO,"44",I,,,,,,,,,,
VIRREY DEL PINO,"2510","2510 PINO, VIRREY DEL",-58.4539678,-34.5671136,"13",COLEGIALES,"65",I,"80",V,,,,,,,,
JOSE HERNANDEZ,"2699","2699 HERNANDEZ, JOSE",-58.456177,-34.5671618,"13",BELGRANO,"65",V,"168",V,,,,,,,,
ELCANO AV.,"2753",2753 ELCANO,-58.4576071,-34.568268,"13",BELGRANO,"44",V,"65",V,,,,,,,,
ELCANO AV.,"2755",2755 ELCANO,-58.45762,-34.568389,"13",BELGRANO,"168",V,"184",V,,,,,,,,
DE LOS INCAS AV.,"3093",3093 DE LOS INCAS AV.,-58.4586371,-34.5703782,"13",BELGRANO,"44",V,"65",V,,,,,,,,
ZAPIOLA,"1646",1646 ZAPIOLA,-58.4591465,-34.5704516,"13",BELGRANO,"113",V,,,,,,,,,,
"FREIRE, RAMON, CAP. GRAL. ","1691","1691 FREIRE, RAMON, CAP. GRAL.",-58.4606626,-34.5707409,"13",BELGRANO,"113",I,,,,,,,,,,
VIRREY DEL PINO,"3397","3397 PINO, VIRREY DEL",-58.4629178,-34.5715996,"13",BELGRANO,"19",V,,,,,,,,,,
SUPERI,"1789",1789 SUPERI,-58.4638735,-34.570871,"13",BELGRANO,"19",I,,,,,,,,,,
MCAL. ANTONIO JOSE DE SUCRE,"3375","3375 SUCRE, ANTONIO JOSE DE, MCAL.",-58.4647163,-34.5695741,"13",BELGRANO,"113",I,,,,,,,,,,
SUPERI,"1987",1987 SUPERI,-58.4655537,-34.5689353,"13",BELGRANO,"19",I,,,,,,,,,,
SUPERI,"2179",2179 SUPERI,-58.4670514,-34.5672038,"13",BELGRANO,"19",I,,,,,,,,,,
OLAZABAL AV.,"3526",3526 OLAZABAL AV.,-58.4702773,-34.5673806,"13",BELGRANO,"19",V,"76",I,,,,,,,,
VIRREY DEL PINO,"3565","3565 PINO, VIRREY DEL",-58.4643983,-34.5723906,"13",BELGRANO,"19",V,,,,,,,,,,
DE LOS INCAS AV.,"3541",3541 DE LOS INCAS AV.,-58.4632565,-34.5748102,"13",BELGRANO,"80",I,,,,,,,,,,
LARRAZABAL AV.,"4402",4402 LARRAZABAL,-58.4679696,-34.6796336,"8",VILLA LUGANO,"145",V,,,,,,,,,,
LARRAZABAL AV.,"4308",4308 LARRAZABAL,-58.4692302,-34.6786185,"8",VILLA LUGANO,"145",V,,,,,,,,,,
LARRAZABAL AV.,"4112",4112 LARRAZABAL,-58.4713374,-34.6769955,"8",VILLA LUGANO,"145",V,,,,,,,,,,
LARRAZABAL AV.,"3916",3916 LARRAZABAL,-58.4730805,-34.6756442,"8",VILLA LUGANO,"145",V,,,,,,,,,,
LARRAZABAL AV.,"3738",3738 LARRAZABAL,-58.4753095,-34.673917,"8",VILLA LUGANO,"56",V,"80",V,,,,,,,,
LARRAZABAL AV.,"3714",3714 LARRAZABAL,-58.4754354,-34.6738194,"8",VILLA LUGANO,"145",V,"117",V,,,,,,,,
CAFAYATE,"4997",4997 CAFAYATE,-58.4685248,-34.6849753,"8",VILLA LUGANO,"91",I,"101",V,,,,,,,,
CAFAYATE,"5197",5197 CAFAYATE,-58.4660309,-34.6868944,"8",VILLA LUGANO,"91",I,"101",V,,,,,,,,
CAFAYATE,"5393",5393 CAFAYATE,-58.4638846,-34.6885954,"8",VILLA LUGANO,"91",I,"101",V,,,,,,,,
BERON DE ASTRADA,"6093",6093 BERON DE ASTRADA,-58.4653315,-34.6900021,"8",VILLA LUGANO,"91",I,"101",V,,,,,,,,
CAFAYATE,"5390",5390 CAFAYATE,-58.4640001,-34.6882774,"8",VILLA LUGANO,"91",V,"101",I,,,,,,,,
CAFAYATE,"5218",5218 CAFAYATE,-58.465564,-34.6870499,"8",VILLA LUGANO,"91",V,"101",I,,,,,,,,
CAFAYATE,"5032",5032 CAFAYATE,-58.4678975,-34.6852382,"8",VILLA LUGANO,"91",V,"101",I,,,,,,,,
CAFAYATE,"4906",4906 CAFAYATE,-58.4693994,-34.684057,"8",VILLA LUGANO,"91",V,"101",I,,,,,,,,
ANA DIAZ,"5423","5423 DIAZ, ANA",-58.4661881,-34.6805882,"8",VILLA LUGANO,"114",I,"145",I,"150",I,,,,,,
ANA DIAZ,"5771","5771 DIAZ, ANA",-58.4684188,-34.682709,"8",VILLA LUGANO,"91",I,"117",,"185",,,,,,,
LUGONES,"3010",3010 LUGONES,-58.4839638,-34.5661579,"12",VILLA URQUIZA,"93",I,,,,,,,,,,
ANA DIAZ,"5891","5891 DIAZ, ANA",-58.4694838,-34.6836941,"8",VILLA LUGANO,"91",I,"117",,"185",,,,,,,
LUGONES,"3204",3204 LUGONES,-58.4855755,-34.5644271,"12",VILLA URQUIZA,"93",I,"41",V,,,,,,,,
LUGONES,"3408",3408 LUGONES,-58.487334,-34.5625237,"12",VILLA URQUIZA,"93",I,"41",V,,,,,,,,
NUÑE,"4706",4706 NUÑE,-58.4882195,-34.5613782,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
NUÑE,"4916",4916 NUÑE,-58.4902433,-34.5623348,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
CNEL. MARTINIANO CHILAVERT,"6599","6599 CHILAVERT, MARTINIANO, CORONEL",-58.4770811,-34.6871763,"8",VILLA RIACHUELO,"143",I,,,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"4919",4919 SOLDADO DE LA FRONTERA AV.,-58.4664401,-34.6824636,"8",VILLA LUGANO,"114",I,"117",I,"47",I,,,,,,
SOLDADO DE LA FRONTERA AV.,"4959",4959 SOLDADO DE LA FRONTERA AV.,-58.4661213,-34.6828077,"8",VILLA LUGANO,"91",V,"150",I,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"4961",4961 SOLDADO DE LA FRONTERA AV.,-58.4660097,-34.6828921,"8",VILLA LUGANO,"145",I,"185",V,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5079",5079 SOLDADO DE LA FRONTERA AV.,-58.4651537,-34.683787,"8",VILLA LUGANO,"114",I,"117",I,"47",I,,,,,,
SOLDADO DE LA FRONTERA AV.,"5115",5115 SOLDADO DE LA FRONTERA AV.,-58.464698,-34.684284,"8",VILLA LUGANO,"145",I,"185",V,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5247",5247 SOLDADO DE LA FRONTERA AV.,-58.4636658,-34.6858441,"8",VILLA LUGANO,"145",I,"185",V,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5237",5237 SOLDADO DE LA FRONTERA AV.,-58.4638832,-34.6856281,"8",VILLA LUGANO,"114",I,"117",I,"47",I,,,,,,
SOLDADO DE LA FRONTERA AV.,"5433",5433 SOLDADO DE LA FRONTERA AV.,-58.462018,-34.687482,"8",VILLA LUGANO,"91",V,"145",I,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5433",5433 SOLDADO DE LA FRONTERA AV.,-58.4618815,-34.6876508,"8",VILLA LUGANO,"114",I,"117",I,,,,,,,,
DE LOS CONSTITUYENTES AV.,"5491",5491 DE LOS CONSTITUYENTES AV.,-58.5004662,-34.5753798,"12",VILLA URQUIZA,"111",I,,,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5485",5485 SOLDADO DE LA FRONTERA AV.,-58.4615257,-34.6879874,"8",VILLA LUGANO,"47",I,"185",V,"150",I,,,,,,
SOLDADO DE LA FRONTERA AV.,"5502",5502 SOLDADO DE LA FRONTERA AV.,-58.4610774,-34.6879741,"8",VILLA LUGANO,"91",I,"150",V,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5460",5460 SOLDADO DE LA FRONTERA AV.,-58.461321,-34.6877432,"8",VILLA LUGANO,"145",V,"185",I,,,,,,,,
SOLDADO DE LA FRONTERA AV.,"5472",5472 SOLDADO DE LA FRONTERA AV.,-58.461522,-34.687555,"8",VILLA LUGANO,"47",V,"114",V,"117",V,,,,,,
SOLDADO DE LA FRONTERA AV.,"5012",5012 SOLDADO DE LA FRONTERA AV.,-58.465451,-34.683066,"8",VILLA LUGANO,"91",I,"150",V,,,,,,,,
DE LOS CONSTITUYENTES AV.,"5562",5562 DE LOS CONSTITUYENTES AV.,-58.501383,-34.57501,"12",VILLA PUEYRREDON,"111",V,,,,,,,,,,
