street,street number,complete address,long,lat,commune,neighborhood
JUAN DE GARAY AV.,3095,"3095 GARAY, JUAN DE AV.",-58.4082355,-34.6294125,3,SAN CRISTOBAL
ZAVALETA,151,151 ZAVALETA,-58.4034523,-34.6385868,4,PARQUE PATRICIOS
ZAVALETA,159,159 ZAVALETA,-58.4034258,-34.6387048,4,PARQUE PATRICIOS
ZAVALETA,389,389 ZAVALETA,-58.4028156,-34.6414185,4,PARQUE PATRICIOS
ZAVALETA,393,393 ZAVALETA,-58.4028084,-34.6414506,4,PARQUE PATRICIOS
ZAVALETA,491,491 ZAVALETA,-58.402464,-34.642973,4,PARQUE PATRICIOS
ZAVALETA,651,651 ZAVALETA,-58.4020799,-34.6446836,4,PARQUE PATRICIOS
MONTEAGUDO,808,808 MONTEAGUDO,-58.4037148,-34.6465677,4,PARQUE PATRICIOS
IGUAZU,516,516 IGUAZU,-58.4056843,-34.6438407,4,PARQUE PATRICIOS
GRITO DE ASENCIO,3410,3410 GRITO DE ASENCIO,-58.4095317,-34.647412,4,PARQUE PATRICIOS
ENTRE RIOS AV.,2178,2178 ENTRE RIOS AV.,-58.3902963,-34.6337489,1,CONSTITUCION
GRAL. PAZ AV.,1018,"1018 PAZ, GRAL. AV.",-58.4744859,-34.538984,13,NUÑE
FAMATINA,3595,3595 FAMATINA,-58.4123622,-34.6466161,4,PARQUE PATRICIOS
ENTRE RIOS AV.,2168,2168 ENTRE RIOS AV.,-58.3903148,-34.6335941,1,CONSTITUCION
ENTRE RIOS AV.,2000,2000 ENTRE RIOS AV.,-58.3905261,-34.6318022,1,CONSTITUCION
PEPIRI,689,689 PEPIRI,-58.4096076,-34.6458587,4,PARQUE PATRICIOS
GRAL. PAZ AV.,686,"686 PAZ, GRAL. AV.",-58.4707895,-34.5373465,13,NUÑE
FAMATINA,3369,3369 FAMATINA,-58.4090316,-34.6460581,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1830,1830 ENTRE RIOS AV.,-58.3907695,-34.6297733,1,CONSTITUCION
ATUEL,693,693 ATUEL,-58.406832,-34.6456161,4,PARQUE PATRICIOS
ATUEL,497,497 ATUEL,-58.4072249,-34.6436322,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1664,1664 ENTRE RIOS AV.,-58.390985,-34.6279489,1,CONSTITUCION
ENTRE RIOS AV.,1628,1628 ENTRE RIOS AV.,-58.3910194,-34.6276485,1,CONSTITUCION
DEL LIBERTADOR AV.,8651,8651 DEL LIBERTADOR AV.,-58.46633,-34.53648,13,NUÑE
DR. PROF. PEDRO CHUTRO,3083,"3083 CHUTRO, PEDRO, PROF., DR.",-58.4057742,-34.6421978,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1428,1428 ENTRE RIOS AV.,-58.3912089,-34.6254697,1,CONSTITUCION
ENTRE RIOS AV.,1410,1410 ENTRE RIOS AV.,-58.3912152,-34.6253891,1,CONSTITUCION
PEPIRI,441,441 PEPIRI,-58.4094981,-34.6432478,4,PARQUE PATRICIOS
ENTRE RIOS AV.,1334,1334 ENTRE RIOS AV.,-58.3912973,-34.624433,1,CONSTITUCION
DEL LIBERTADOR AV.,8550,8550 DEL LIBERTADOR AV.,-58.46627,-34.53704,13,NUÑE
